"Date","Install base","Brazil","United States","France","Indonesia", "Notes"
"Nov 25, 2020","1,666",16,162,8,54,
"Nov 26, 2020","1,674",18,166,7,51,
"Nov 27, 2020","1,650",18,161,8,50,
"Nov 28, 2020","1,644",19,160,7,51,
"Nov 29, 2020","1,676",19,159,8,55,
"Nov 30, 2020","1,664",21,164,7,49,
"Dec 1, 2020","1,679",20,159,8,49,
"Dec 2, 2020","1,668",19,164,9,52,
"Dec 3, 2020","1,691",19,159,6,50,
"Dec 4, 2020","1,670",22,156,6,52,
"Dec 5, 2020","1,671",21,162,6,51,
"Dec 6, 2020","1,675",22,157,7,52,
"Dec 7, 2020","1,684",23,163,7,53,
"Dec 8, 2020","1,670",20,155,6,51,
"Dec 9, 2020","1,682",21,159,6,52,
"Dec 10, 2020","1,680",21,164,6,50,Rollout of release: Started rollout of V3.0 at 100%.
"Dec 11, 2020","1,705",21,161,7,54,
"Dec 12, 2020","1,683",21,163,6,51,
"Dec 13, 2020","1,673",19,164,7,51,
"Dec 14, 2020","1,690",20,167,7,52,
"Dec 15, 2020","1,685",19,166,7,50,
"Dec 16, 2020","1,701",21,163,8,51,
"Dec 17, 2020","1,685",20,168,8,54,
"Dec 18, 2020","1,711",22,164,6,53,
"Dec 19, 2020","1,703",21,159,6,57,
"Dec 20, 2020","1,705",22,164,6,54,
"Dec 21, 2020","1,717",21,169,6,50,
"Dec 22, 2020","1,698",20,164,6,52,
"Dec 23, 2020","1,690",20,157,6,50,
"Dec 24, 2020","1,729",20,163,7,53,
"Dec 25, 2020","1,723",21,159,6,54,
"Dec 26, 2020","1,743",20,166,6,58,
"Dec 27, 2020","1,720",20,164,6,56,
"Dec 28, 2020","1,699",21,160,7,57,
"Dec 29, 2020","1,698",21,161,6,55,
"Dec 30, 2020","1,723",21,160,6,53,
"Dec 31, 2020","1,739",19,165,6,53,
"Jan 1, 2021","1,742",20,165,6,56,
"Jan 2, 2021","1,704",22,164,6,49,
"Jan 3, 2021","1,687",21,159,6,51,
"Jan 4, 2021","1,721",25,174,8,48,
"Jan 5, 2021","1,739",22,176,7,53,
"Jan 6, 2021","1,743",22,176,7,52,
"Jan 7, 2021","1,747",22,184,8,50,
"Jan 8, 2021","1,743",23,184,7,56,
"Jan 9, 2021","1,747",25,187,7,51,
"Jan 10, 2021","1,728",24,185,7,48,
"Jan 11, 2021","1,735",24,187,7,48,
"Jan 12, 2021","1,748",23,185,7,53,
"Jan 13, 2021","1,747",24,182,9,50,
"Jan 14, 2021","1,732",25,183,10,48,
"Jan 15, 2021","1,709",25,174,11,53,
"Jan 16, 2021","1,735",24,178,9,52,
"Jan 17, 2021","1,737",24,175,10,50,
"Jan 18, 2021","1,723",25,180,9,50,
"Jan 19, 2021","1,724",22,182,9,53,
"Jan 20, 2021","1,750",24,183,10,54,
"Jan 21, 2021","1,742",23,176,11,50,
"Jan 22, 2021","1,764",25,187,11,53,
"Jan 23, 2021","1,774",25,185,10,56,
"Jan 24, 2021","1,779",26,185,12,54,
"Jan 25, 2021","1,783",27,186,11,53,
"Jan 26, 2021","1,788",25,195,11,58,
"Jan 27, 2021","1,803",27,196,9,54,
"Jan 28, 2021","1,810",27,190,10,52,
"Jan 29, 2021","1,806",26,197,10,52,
"Jan 30, 2021","1,805",26,194,11,53,
"Jan 31, 2021","1,797",28,194,10,52,
"Feb 1, 2021","1,784",31,188,12,50,
"Feb 2, 2021","1,830",31,189,14,54,
"Feb 3, 2021","1,829",30,191,9,57,
"Feb 4, 2021","1,830",31,186,11,62,
"Feb 5, 2021","1,836",32,186,10,58,
"Feb 6, 2021","1,827",30,191,8,57,
"Feb 7, 2021","1,852",31,197,7,60,
"Feb 8, 2021","1,832",29,191,8,56,
"Feb 9, 2021","1,833",28,195,7,60,
"Feb 10, 2021","1,855",26,193,8,60,
"Feb 11, 2021","1,849",26,196,8,58,
"Feb 12, 2021","1,858",29,193,9,58,
"Feb 13, 2021","1,860",28,200,10,57,
"Feb 14, 2021","1,864",28,194,10,55,
"Feb 15, 2021","1,868",27,198,10,56,
"Feb 16, 2021","1,824",29,194,12,53,
"Feb 17, 2021","1,863",31,192,14,53,
"Feb 18, 2021","1,859",31,197,13,53,
"Feb 19, 2021","1,877",28,195,13,54,
"Feb 20, 2021","1,862",27,195,13,56,
"Feb 21, 2021","1,876",31,199,11,53,
"Feb 22, 2021","1,896",30,199,11,55,
"Feb 23, 2021","1,868",32,199,12,55,
"Feb 24, 2021","1,865",31,196,11,51,
"Feb 25, 2021","1,886",30,203,15,51,
"Feb 26, 2021","1,879",30,206,14,50,
"Feb 27, 2021","1,873",30,205,12,50,
"Feb 28, 2021","1,874",32,206,14,52,
"Mar 1, 2021","1,861",29,210,13,52,
"Mar 2, 2021","1,882",30,214,13,49,
"Mar 3, 2021","1,862",29,197,13,57,
"Mar 4, 2021","1,868",29,198,14,53,
"Mar 5, 2021","1,863",32,203,13,49,
"Mar 6, 2021","1,904",31,202,13,51,
"Mar 7, 2021","1,870",28,201,13,50,
"Mar 8, 2021","1,868",33,197,14,53,
"Mar 9, 2021","1,879",32,200,14,50,
"Mar 10, 2021","1,884",27,205,14,53,
"Mar 11, 2021","1,881",30,210,16,55,
"Mar 12, 2021","1,867",29,200,14,53,
"Mar 13, 2021","1,866",27,204,17,53,
"Mar 14, 2021","1,874",27,209,16,50,
"Mar 15, 2021","1,854",26,207,17,52,
"Mar 16, 2021","1,852",24,202,15,49,
"Mar 17, 2021","1,853",25,203,18,48,
"Mar 18, 2021","1,870",25,208,15,48,
"Mar 19, 2021","1,888",28,203,14,49,
"Mar 20, 2021","1,859",27,211,17,49,
"Mar 21, 2021","1,875",26,200,18,48,
"Mar 22, 2021","1,875",29,199,17,49,
"Mar 23, 2021","1,908",30,209,16,51,
"Mar 24, 2021","1,894",27,207,16,51,
"Mar 25, 2021","1,908",29,209,15,49,
"Mar 26, 2021","1,891",31,207,14,50,
"Mar 27, 2021","1,888",31,212,17,48,
"Mar 28, 2021","1,907",31,212,15,48,
"Mar 29, 2021","1,900",31,211,15,46,
"Mar 30, 2021","1,915",27,214,14,46,
"Mar 31, 2021","1,918",28,218,17,51,
"Apr 1, 2021","1,905",32,217,16,52,
"Apr 2, 2021","1,893",33,223,13,46,
"Apr 3, 2021","1,925",30,218,14,49,
"Apr 4, 2021","1,922",33,215,15,49,
"Apr 5, 2021","1,892",31,217,15,45,
"Apr 6, 2021","1,889",34,221,17,46,
"Apr 7, 2021","1,912",32,223,15,47,
"Apr 8, 2021","1,927",30,222,15,47,
"Apr 9, 2021","1,908",31,221,15,44,
"Apr 10, 2021","1,938",31,226,15,46,
"Apr 11, 2021","1,924",32,218,18,49,
"Apr 12, 2021","1,912",34,216,18,49,
"Apr 13, 2021","1,906",33,216,16,52,
"Apr 14, 2021","1,918",30,215,17,51,
"Apr 15, 2021","1,925",32,214,15,51,
"Apr 16, 2021","1,920",33,226,15,54,
"Apr 17, 2021","1,920",32,219,17,53,
"Apr 18, 2021","1,926",34,221,16,53,
"Apr 19, 2021","1,920",32,218,17,58,
"Apr 20, 2021","2,136",33,219,18,54,
"Apr 21, 2021","2,130",33,222,16,54,
"Apr 22, 2021","2,131",36,217,19,52,
"Apr 23, 2021","2,134",34,222,17,54,
"Apr 24, 2021","2,117",36,211,15,54,
"Apr 25, 2021","2,140",35,214,17,54,
"Apr 26, 2021","2,161",33,225,18,55,
"Apr 27, 2021","2,151",34,228,16,50,
"Apr 28, 2021","2,159",33,220,17,50,
"Apr 29, 2021","2,188",32,229,16,55,
"Apr 30, 2021","2,181",32,225,15,53,
"May 1, 2021","2,173",33,223,16,52,
"May 2, 2021","2,166",31,225,17,51,
"May 3, 2021","2,183",31,222,18,52,
"May 4, 2021","2,199",31,228,17,56,
"May 5, 2021","2,218",34,228,18,52,
"May 6, 2021","2,181",35,218,18,52,
"May 7, 2021","2,200",37,224,16,51,
"May 8, 2021","2,190",32,222,22,60,
"May 9, 2021","2,198",36,230,18,56,
"May 10, 2021","2,209",33,224,17,56,
"May 11, 2021","2,194",33,234,17,53,
"May 12, 2021","2,185",34,226,17,55,
"May 13, 2021","2,194",36,224,17,52,
"May 14, 2021","2,178",33,220,17,57,
"May 15, 2021","2,171",33,220,19,55,
"May 16, 2021","2,175",33,214,17,56,
"May 17, 2021","2,159",35,215,17,54,
"May 18, 2021","2,166",34,229,15,60,
"May 19, 2021","2,168",32,218,14,55,
"May 20, 2021","2,149",34,370,13,54,
"May 21, 2021","2,148",36,381,12,59,
"May 22, 2021","2,170",33,383,12,55,
